model_key,prediction_window,feature_group,target_cutoff,model,settings,threshold,accuracy,balanced_accuracy,f1_up,train_rows,test_rows,split_date
"focused|7d|Random Forest|n_estimators=200, max_depth=5, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=5, min_samples_leaf=5",0.43,0.5287081339712919,0.5466993701550388,0.5517633674630261,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=5, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=5, min_samples_leaf=5",0.45,0.5101674641148325,0.5447371608527132,0.5003050640634533,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=5",0.43,0.5322966507177034,0.5389232073643411,0.5740740740740741,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=10",0.5,0.4868421052631579,0.5350411821705426,0.44213263979193757,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=5",0.45,0.5083732057416268,0.5343810562015503,0.5153301886792453,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=5",0.5,0.49521531100478466,0.533218265503876,0.47577639751552797,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=5",0.47,0.507177033492823,0.5322250484496124,0.5158636897767332,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=5",0.45,0.507177033492823,0.5322250484496124,0.5158636897767332,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.45,0.507177033492823,0.5322250484496124,0.5158636897767332,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.47,0.507177033492823,0.5322250484496124,0.5158636897767332,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=20",0.45,0.507177033492823,0.5322250484496124,0.5158636897767332,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=20",0.47,0.507177033492823,0.5322250484496124,0.5158636897767332,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.25,7,price_volume_only,0.005,Logistic Regression,C=0.25,0.43,0.47906698564593303,0.5320070251937985,0.4204923486360612,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=10",0.47,0.5041866028708134,0.5315830910852714,0.5080118694362018,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=5, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=5, min_samples_leaf=5",0.47,0.48564593301435405,0.5314014050387597,0.4465894465894466,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=5",0.43,0.5257177033492823,0.5312197189922481,0.5692558392178164,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=5, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=5, min_samples_leaf=5",0.4,0.5657894736842105,0.5304445251937985,0.6594746716697936,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=100, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=5",0.5,0.4946172248803828,0.530062984496124,0.48063921327596804,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=10",0.47,0.5005980861244019,0.5286761143410853,0.5026801667659321,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.5,7,price_volume_only,0.005,Logistic Regression,C=0.5,0.43,0.4730861244019139,0.5280523255813954,0.40753194351042366,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=10",0.5,0.48145933014354064,0.5280099321705426,0.43956043956043955,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=5",0.45,0.5005980861244019,0.5277858527131783,0.5044510385756676,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=5",0.47,0.48504784688995217,0.5270591085271318,0.45471817606079795,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=8",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=8",0.5,0.48504784688995217,0.5270591085271318,0.45471817606079795,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=5",0.47,0.4826555023923445,0.5269016472868217,0.4465770953294946,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=1.5,7,price_volume_only,0.005,Logistic Regression,C=1.5,0.43,0.4700956937799043,0.5268168604651163,0.3989145183175034,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=5",0.5,0.49282296650717705,0.526235465116279,0.48292682926829267,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=3",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=3",0.5,0.4958133971291866,0.5259871608527131,0.4930847865303668,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=2,7,price_volume_only,0.005,Logistic Regression,C=2,0.43,0.4694976076555024,0.5257388565891473,0.3994583615436696,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.05,7,price_volume_only,0.005,Logistic Regression,C=0.05,0.47,0.44677033492822965,0.5254299903100775,0.2976461655277145,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.1,7,price_volume_only,0.005,Logistic Regression,C=0.1,0.43,0.47607655502392343,0.5254299903100775,0.4259501965923984,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=5,7,price_volume_only,0.005,Logistic Regression,C=5,0.43,0.4694976076555024,0.5251453488372093,0.4010803511141121,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.5,7,price_volume_only,0.005,Logistic Regression,C=0.5,0.45,0.4533492822966507,0.5251211240310077,0.3308931185944363,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=1,7,price_volume_only,0.005,Logistic Regression,C=1,0.43,0.46830143540669855,0.5250666182170542,0.39646978954514595,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=5",0.47,0.5155502392344498,0.5247638081395349,0.5529801324503312,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=5",0.45,0.5155502392344498,0.5247638081395349,0.5529801324503312,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=10",0.47,0.5155502392344498,0.5247638081395349,0.5529801324503312,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=10",0.45,0.5155502392344498,0.5247638081395349,0.5529801324503312,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=8, min_samples_leaf=5",0.5,0.4623205741626794,0.5246729651162791,0.37264480111653875,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=2,7,price_volume_only,0.005,Logistic Regression,C=2,0.45,0.451555023923445,0.5245578972868217,0.32424465733235075,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=10",0.45,0.5101674641148325,0.5245578972868217,0.5385915492957747,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=4, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=5",0.4,0.6220095693779905,0.5240552325581396,0.7546583850931677,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.4,0.6220095693779905,0.5240552325581396,0.7546583850931677,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=4, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=20",0.4,0.6220095693779905,0.5240552325581396,0.7546583850931677,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=10,7,price_volume_only,0.005,Logistic Regression,C=10,0.43,0.4677033492822967,0.5239886143410852,0.3970189701897019,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.75,7,price_volume_only,0.005,Logistic Regression,C=0.75,0.45,0.451555023923445,0.5236676356589147,0.3272193690388848,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=1,7,price_volume_only,0.005,Logistic Regression,C=1,0.45,0.45095693779904306,0.5234798934108527,0.325,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.05,7,price_volume_only,0.005,Logistic Regression,C=0.05,0.45,0.4623205741626794,0.5231891957364341,0.376992376992377,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.75,7,price_volume_only,0.005,Logistic Regression,C=0.75,0.43,0.46710526315789475,0.5229106104651163,0.3975659229208925,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=1.5,7,price_volume_only,0.005,Logistic Regression,C=1.5,0.45,0.44976076555023925,0.5228076550387597,0.3215339233038348,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=5",0.47,0.507177033492823,0.5227289244186046,0.5334088335220838,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.05,7,price_volume_only,0.005,Logistic Regression,C=0.05,0.43,0.4796650717703349,0.5226986434108527,0.445859872611465,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.1,7,price_volume_only,0.005,Logistic Regression,C=0.1,0.45,0.45753588516746413,0.522577519379845,0.3581033262561925,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=5",0.5,0.4611244019138756,0.5225169573643411,0.37387074357192496,6698,1672,2025-03-03
