model_key,prediction_window,feature_group,target_cutoff,model,settings,threshold,accuracy,balanced_accuracy,f1_up,train_rows,test_rows,split_date
"7d|price_volume_sentiment|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,price_volume_sentiment,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.45,0.5833831440526002,0.545747580755077,0.6765661252900232,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.45,0.5857740585774058,0.5407659806460406,0.6857142857142857,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.45,0.5080693365212193,0.5335763936213711,0.5173020527859238,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.45,0.5080693365212193,0.5335763936213711,0.5173020527859238,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,price_volume_sentiment,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.43,0.5493126120741183,0.5308368543001227,0.6256206554121152,6703,1673,2025-03-04
7d|price_volume_only|0.005|Logistic Regression|C=0.5,7,price_volume_only,0.005,Logistic Regression,C=0.5,0.43,0.4739988045427376,0.5300887435070343,0.40860215053763443,6703,1673,2025-03-04
7d|price_volume_sentiment|0.005|Logistic Regression|C=0.5,7,price_volume_sentiment,0.005,Logistic Regression,C=0.5,0.43,0.4734010759115362,0.5296056517195947,0.40753194351042366,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.4,0.6246264196054991,0.5285788923719958,0.7546875,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,price_volume_sentiment,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.4,0.5899581589958159,0.5285160450077991,0.7037996545768567,6703,1673,2025-03-04
7d|price_volume_only|0.005|Logistic Regression|C=1,7,price_volume_only,0.005,Logistic Regression,C=1,0.43,0.4710101613867304,0.5282744991140793,0.40162271805273836,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.4,0.5923490735206216,0.5268411248920994,0.7090443686006825,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,price_volume_sentiment,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.43,0.6001195457262403,0.5268085654142626,0.7211338057523968,6703,1673,2025-03-04
7d|price_volume_sentiment|0.005|Logistic Regression|C=1,7,price_volume_sentiment,0.005,Logistic Regression,C=1,0.45,0.452480573819486,0.5253229445883119,0.3304093567251462,6703,1673,2025-03-04
7d|price_volume_sentiment|0.005|Logistic Regression|C=1,7,price_volume_sentiment,0.005,Logistic Regression,C=1,0.43,0.4686192468619247,0.5248390956037132,0.40134680134680134,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.4,0.6234309623430963,0.52430602880378,0.7558139534883721,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.4,0.6234309623430963,0.52430602880378,0.7558139534883721,6703,1673,2025-03-04
7d|price_volume_only|0.005|Logistic Regression|C=0.5,7,price_volume_only,0.005,Logistic Regression,C=0.5,0.45,0.4512851165570831,0.5237555464691896,0.32992700729927005,6703,1673,2025-03-04
7d|price_volume_only|0.005|Logistic Regression|C=1,7,price_volume_only,0.005,Logistic Regression,C=1,0.45,0.44949193066347876,0.5235087001953569,0.32229580573951433,6703,1673,2025-03-04
7d|price_volume_sentiment|0.005|Logistic Regression|C=0.5,7,price_volume_sentiment,0.005,Logistic Regression,C=0.5,0.45,0.45068738792588164,0.5229718474096285,0.3296863603209336,6703,1673,2025-03-04
"7d|trend_signals|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,trend_signals,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.45,0.5442020665901263,0.5226673789173789,0.6240530303030303,6968,1742,2025-02-13
"7d|price_volume_only|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.43,0.6013150029886432,0.5223638180909546,0.7263028313500205,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,price_volume_sentiment,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.4,0.6186491332934848,0.5222449381369921,0.75078125,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.43,0.45546921697549314,0.519622007178229,0.3615977575332866,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.43,0.45546921697549314,0.519622007178229,0.3615977575332866,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.45,0.45427375971309025,0.5195576454197144,0.35658914728682173,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.5,0.45427375971309025,0.5195576454197144,0.35658914728682173,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.45,0.45427375971309025,0.5195576454197144,0.35658914728682173,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.5,0.45427375971309025,0.5195576454197144,0.35658914728682173,6703,1673,2025-03-04
"7d|trend_signals|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,trend_signals,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.43,0.5453501722158438,0.5192307692307693,0.6319702602230484,6968,1742,2025-02-13
"7d|price_volume_sentiment|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,price_volume_sentiment,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.45,0.502092050209205,0.5182242212227219,0.5280453257790368,6703,1673,2025-03-04
"7d|trend_signals|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,trend_signals,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.45,0.534443168771527,0.5161146723646723,0.6102835175396444,6968,1742,2025-02-13
7d|price_volume_sentiment|0.005|Logistic Regression|C=0.5,7,price_volume_sentiment,0.005,Logistic Regression,C=0.5,0.4,0.4859533771667663,0.5148001756697409,0.4862604540023895,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.43,0.4572624028690974,0.512954886193267,0.3881401617250674,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.45,0.4572624028690974,0.512954886193267,0.3881401617250674,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.45,0.4572624028690974,0.512954886193267,0.3881401617250674,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.43,0.4572624028690974,0.512954886193267,0.3881401617250674,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.43,0.6090854751942618,0.5127118259052292,0.744131455399061,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.4,0.6090854751942618,0.5127118259052292,0.744131455399061,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.43,0.6090854751942618,0.5127118259052292,0.744131455399061,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.4,0.6090854751942618,0.5127118259052292,0.744131455399061,6703,1673,2025-03-04
7d|price_volume_only|0.005|Logistic Regression|C=0.5,7,price_volume_only,0.005,Logistic Regression,C=0.5,0.4,0.48356246264196057,0.5125672012478609,0.48325358851674644,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.45,0.5032875074716079,0.5107734011781988,0.5441579813494241,6703,1673,2025-03-04
7d|short_term_signals|0.005|Logistic Regression|C=1,7,short_term_signals,0.005,Logistic Regression,C=1,0.5,0.5189437428243399,0.510772792022792,0.5784708249496981,6974,1742,2025-02-13
7d|short_term_signals|0.005|Logistic Regression|C=0.5,7,short_term_signals,0.005,Logistic Regression,C=0.5,0.5,0.518369690011481,0.5100605413105413,0.5781799899446959,6974,1742,2025-02-13
"7d|price_volume_only|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.43,0.5367603108188882,0.5092688504232732,0.625422909618173,6703,1673,2025-03-04
7d|price_volume_sentiment|0.005|Logistic Regression|C=1,7,price_volume_sentiment,0.005,Logistic Regression,C=1,0.4,0.4793783622235505,0.5085843441915406,0.4781306171360096,6703,1673,2025-03-04
7d|price_volume_only|0.005|Logistic Regression|C=1,7,price_volume_only,0.005,Logistic Regression,C=1,0.4,0.47878063359234907,0.5084018596762225,0.4765906362545018,6703,1673,2025-03-04
7d|price_volume_sentiment|0.005|Logistic Regression|C=1,7,price_volume_sentiment,0.005,Logistic Regression,C=1,0.5,0.4004781829049611,0.5073425408507867,0.10526315789473684,6703,1673,2025-03-04
7d|price_volume_only|0.005|Logistic Regression|C=0.5,7,price_volume_only,0.005,Logistic Regression,C=0.5,0.5,0.4004781829049611,0.5073425408507867,0.10526315789473684,6703,1673,2025-03-04
7d|price_volume_sentiment|0.005|Logistic Regression|C=0.5,7,price_volume_sentiment,0.005,Logistic Regression,C=0.5,0.5,0.4004781829049611,0.5073425408507867,0.10526315789473684,6703,1673,2025-03-04
7d|price_volume_only|0.005|Logistic Regression|C=1,7,price_volume_only,0.005,Logistic Regression,C=1,0.5,0.39988045427375973,0.5071600563354687,0.10196779964221825,6703,1673,2025-03-04
"7d|price_volume_only|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.5,0.4046622833233712,0.5038102161040692,0.151618398637138,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.5,0.4046622833233712,0.5038102161040692,0.151618398637138,6703,1673,2025-03-04
"7d|trend_signals|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,trend_signals,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.4,0.5975889781859931,0.5018696581196581,0.7470227354745579,6968,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,short_term_signals,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.4,0.5970149253731343,0.5013888888888889,0.7465703971119133,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,short_term_signals,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.43,0.5970149253731343,0.5013888888888889,0.7465703971119133,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,short_term_signals,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.4,0.5970149253731343,0.5013888888888889,0.7465703971119133,6974,1742,2025-02-13
