feature,importance
ticker_ticker_AVGO,0.0
ticker_ticker_GOOGL,0.0
ticker_ticker_NVDA,0.0
ticker_ticker_AMD,0.0
return_3d,0.0005335903617273998
ticker_ticker_AMZN,0.0007388139733276857
volume_change,0.0007593272126587135
daily_return,0.0028312830552368706
ticker_ticker_MSFT,0.0034001473671323736
return_7d,0.0034391104223336407
return_5d,0.004713058991211215
volume_vs_avg_30d,0.004969791620963209
volatility_14d,0.006021917175920935
return_10d,0.006220419231310828
close_vs_ma_30d,0.01435891262019645
return_14d,0.02446398297232437
return_30d,0.032152535822056245
ma_30d,0.05304905050515272
volatility_7d,0.054641656609133955
ma_7d_vs_30d,0.05970617000203737
ma_90d,0.07453129772899976
ma_14d,0.10455844054983146
volatility_30d,0.2521763032912181
ma_7d,0.29673419048722677
